maimai DX 歌曲别名收集计划（@AkihaBot 版）,,,,,,,,,,,,,,,,,,,,,,,,,
"编辑指南请移步左下角「表格编辑指南」，
务必阅读完毕之后再申请编辑！",,,,,,,,,,,,,,,,,,,,,,,,,
ID,歌名,别名1,别名2,别名3,别名4,别名5,别名6,别名7,别名8,别名9,别名10,别名11,别名12,别名13,别名14,别名15,别名16,...,,,,,,,上限 24
8,True Love Song,真爱歌,,,,,,,,,,,,,,,,,,,,,,,
9,Color My World,,,,,,,,,,,,,,,,,,,,,,,,
17,Future,未来,星星歌,,,,,,,,,,,,,,,,,,,,,,
18,Love You,爱你,,,,,,,,,,,,,,,,,,,,,,,
21,コネクト,,,,,,,,,,,,,,,,,,,,,,,,
22,In Chaos,阴超市,超市,在超市,阴间超市,,,,,,,,,,,,,,,,,,,,
23,Crush On You,coy,COU,,,,,,,,,,,,,,,,,,,,,,
24,Sun Dance,阳舞,太阳舞,日跳舞,日舞,,,,,,,,,,,,,,,,,,,,
25,Sweets×Sweets,小甜甜,,,,,,,,,,,,,,,,,,,,,,,
27,Love or Lies,,,,,,,,,,,,,,,,,,,,,,,,
30,ネコ日和。,猫日和,猫天气,猫,,,,,,,,,,,,,,,,,,,,,
31,虹と太陽,虹太阳,虹与太阳,,,,,,,,,,,,,,,,,,,,,,
35,炭★坑★節,炭坑节,光★吉★猛★修,,,,,,,,,,,,,,,,,,,,,,
38,NIGHT OF FIRE,夜火,逮虾户,,,,,,,,,,,,,,,,,,,,,,
40,come again,再来一遍,,,,,,,,,,,,,,,,,,,,,,,
42,jelly,中田女士,,,,,,,,,,,,,,,,,,,,,,,
44,ハッピーシンセサイザ,,,,,,,,,,,,,,,,,,,,,,,,
46,ルカルカ★ナイトフィーバー,luka,来一发,rukarukanightfever,rukaruka,,,,,,,,,,,,,,,,,,,,
47,源平大戦絵巻テーマソング,源平,源平1,源平大战,,,,,,,,,,,,,,,,,,,,,
53,美しく燃える森,美燃森,美丽燃烧的森林,,,,,,,,,,,,,,,,,,,,,,
56,ウッーウッーウマウマ(ﾟ∀ﾟ),扭腰歌,caramelldansen,,,,,,,,,,,,,,,,,,,,,,
58,Endless World,无尽世界,ew,,,,,,,,,,,,,,,,,,,,,,
61,Beat Of Mind,bom,nmb的mai,你妈逼的麦,,,,,,,,,,,,,,,,,,,,,
62,檄！帝国華撃団(改),滑稽团,帝国华击团,帝国滑稽团,屑团,改,,,,,,,,,,,,,,,,,,,
63,メランコリック,忧郁的心情,,,,,,,,,,,,,,,,,,,,,,,
64,教えて!! 魔法のLyric,教教,,,,,,,,,,,,,,,,,,,,,,,
65,ZIGG-ZAGG,拉链,,,,,,,,,,,,,,,,,,,,,,,
66,ワールズエンド・ダンスホール,末世舞厅,世末舞厅,世界终末舞厅,world's end dancehall,,,,,,,,,,,,,,,,,,,,
67,パンダヒーロー,panda hero,熊猫英雄,,,,,,,,,,,,,,,,,,,,,,
68,オレンジの夏,橙色夏天,橙夏,,,,,,,,,,,,,,,,,,,,,,
69,BaBan!! －甘い罠－,,,,,,,,,,,,,,,,,,,,,,,,
70,ジングルベル,圣诞歌,鸡公煲,圣诞,吵死了,Jingle Bell,,,,,,,,,,,,,,,,,,,
71,マトリョシカ,俄罗斯套娃,套娃,,,,,,,,,,,,,,,,,,,,,,
73,メグメグ☆ファイアーエンドレスナイト,Meg Meg Fire Endless Night,,,,,,,,,,,,,,,,,,,,,,,
75,天国と地獄,天国地狱,天国,,,,,,,,,,,,,,,,,,,,,,
76,きみのためなら死ねる,为了你而死,为你而死,,,,,,,,,,,,,,,,,,,,,,
77,怪盗Rのテーマ,怪盗R的影之诗,怪盗R,,,,,,,,,,,,,,,,,,,,,,
78,マリアをはげませ,秃头玛丽亚,,,,,,,,,,,,,,,,,,,,,,,
79,SHOW TIME,,,,,,,,,,,,,,,,,,,,,,,,
80,City Escape: Act1,索1,,,,,,,,,,,,,,,,,,,,,,,
81,Rooftop Run: Act1,逃离屋顶,索2,蓝猫,,,,,,,,,,,,,,,,,,,,,
82,Reach For The Stars,追星,索3,,,,,,,,,,,,,,,,,,,,,,
83,Urban Crusher [Remix],机器人,,,,,,,,,,,,,,,,,,,,,,,
84,Catch The Future,抓住未来,,,,,,,,,,,,,,,,,,,,,,,
85,JACKY [Remix],,,,,,,,,,,,,,,,,,,,,,,,
100,Tell Your World,TYW,难忘今宵,,,,,,,,,,,,,,,,,,,,,,
101,おちゃめ機能,天真烂漫机能,机能,五月病,,,,,,,,,,,,,,,,,,,,,
102,ダンシング☆サムライ,茄子先生,跳舞武士,茄子,,,,,,,,,,,,,,,,,,,,,
106,BAD∞END∞NIGHT,坏结夜,BEN,,,,,,,,,,,,,,,,,,,,,,
107,ロミオとシンデレラ,罗密欧,灰姑娘,罗密欧与辛德瑞拉,罗与灰,罗密欧与灰姑娘,口三才,,,,,,,,,,,,,,,,,,
108,Sweetiex2,,,,,,,,,,,,,,,,,,,,,,,,
109,腐れ外道とチョコレゐト,外道,巧克力,腐外道,该死的异端,,,,,,,,,,,,,,,,,,,,
110,Quartet Theme [Reborn],手枪人,QT,COSIO,,,,,,,,,,,,,,,,,,,,,
111,Sky High [Reborn],天空高,,,,,,,,,,,,,,,,,,,,,,,
112,Like the Wind [Reborn],一块钱,重生之风,风が好き,喜欢风,,,,,,,,,,,,,,,,,,,,
113,YA･DA･YO [Reborn],亚达哟,yadayo,说唱,,,,,,,,,,,,,,,,,,,,,
114,Space Harrier Main Theme [Reborn],太空哈利,太空,,,,,,,,,,,,,,,,,,,,,,
115,DADDY MULK -Groove remix-,爸爸奶,爹奶,爸奶,,,,,,,,,,,,,,,,,,,,,
116,ぴぴぱぷぅ！,比巴卜,,,,,,,,,,,,,,,,,,,,,,,
117,炎歌 -ほむらうた-,炎歌,阉割,,,,,,,,,,,,,,,,,,,,,,
118,犬日和。,狗日子,狗天气,犬日和,狗日,,,,,,,,,,,,,,,,,,,,
119,ソーラン☆節,索兰节,捕鱼节,六魁首,,,,,,,,,,,,,,,,,,,,,
120,デコボコ体操第二,体操第二,,,,,,,,,,,,,,,,,,,,,,,
121,スイートマジック,甜甜魔法,sweet magic,甜蜜魔法,,,,,,,,,,,,,,,,,,,,,
122,ゴーゴー幽霊船,幽灵船,sasasasa,,,,,,,,,,,,,,,,,,,,,,
125,千本桜,,,,,,,,,,,,,,,,,,,,,,,,
128,御旗のもとに,御旗,,,,,,,,,,,,,,,,,,,,,,,
130,FEEL ALIVE,感觉活着,女人赛跑,绝赞转圈,,,,,,,,,,,,,,,,,,,,,
131,Link,林克,,,,,,,,,,,,,,,,,,,,,,,
132,Turn around,转弯,,,,,,,,,,,,,,,,,,,,,,,
133,We Gonna Party,wgp,咱想开派对,我们去派对,派对,,,,,,,,,,,,,,,,,,,,
134,Night Fly,夜飞,夜晚飞,,,,,,,,,,,,,,,,,,,,,,
135,Feel My Fire,感受我的火,,,,,,,,,,,,,,,,,,,,,,,
136,Streak,绿庙,米奇妙妙屋,拆房子,绿房子,牛排,,,,,,,,,,,,,,,,,,,
137,Spin me harder,蓝蝴蝶,电蝴蝶,更用力地抽我,转我硬,大蝴蝶,,,,,,,,,,,,,,,,,,,
138,Lionheart,狮心,莱因哈特,spaceman,,,,,,,,,,,,,,,,,,,,,
139,Acceleration,加速,加速器,,,,,,,,,,,,,,,,,,,,,,
140,Sprintrances,冰山,,,,,,,,,,,,,,,,,,,,,,,
141,Nerverakes,两块钱,地球仪,,,,,,,,,,,,,,,,,,,,,,
142,Black Out,黑出,,,,,,,,,,,,,,,,,,,,,,,
143,Fragrance,香水,斜塔,大厦,弗拉钢丝,,,,,,,,,,,,,,,,,,,,
144,air's gravity,空气重力,大气重力,,,,,,,,,,,,,,,,,,,,,,
145,Starlight Disco,,,,,,,,,,,,,,,,,,,,,,,,
146,39,,,,,,,,,,,,,,,,,,,,,,,,
147,地上の戦士,地上的战士,,,,,,,,,,,,,,,,,,,,,,,
152,超絶！Superlative,超绝,,,,,,,,,,,,,,,,,,,,,,,
153,采配の刻 Power of order,命令时刻,采配,,,,,,,,,,,,,,,,,,,,,,
154,DO RORO DERODERO ON DO RORO,多罗罗,源平2,迪罗迪罗,dororo,,,,,,,,,,,,,,,,,,,,
155,泣き虫O'clock,泣虫,爱哭鬼,,,,,,,,,,,,,,,,,,,,,,
157,Natural Flow,自然流,自然流,,,,,,,,,,,,,,,,,,,,,,
159,maimaiちゃんのテーマ,PLUS主题曲,maimai酱,,,,,,,,,,,,,,,,,,,,,,
181,君の知らない物語,,,,,,,,,,,,,,,,,,,,,,,,
184,I ♥,我爱,,,,,,,,,,,,,,,,,,,,,,,
185,＊ハロー、プラネット。,,,,,,,,,,,,,,,,,,,,,,,,
186,イアイア★ナイトオブデザイア,欲望之夜,,,,,,,,,,,,,,,,,,,,,,,
187,ローリンガール,滚女,rolling girl,回转少女,,,,,,,,,,,,,,,,,,,,,
188,天ノ弱,,,,,,,,,,,,,,,,,,,,,,,,
189,弱虫モンブラン,弱虫,胆小鬼,错位练习歌,胆小鬼蒙布朗,弱虫蒙布朗,784,甜点,,,,,,,,,,,,,,,,,
190,モザイクロール,马赛克卷,Mosaic Roll,,,,,,,,,,,,,,,,,,,,,,
191,脳漿炸裂ガール,,,,,,,,,,,,,,,,,,,,,,,,
192,SPiCa,,,,,,,,,,,,,,,,,,,,,,,,
193,セツナトリップ,,,,,,,,,,,,,,,,,,,,,,,,
194,放課後ストライド,放课后冲,放课后,,,,,,,,,,,,,,,,,,,,,,
198,カゲロウデイズ,车祸歌,阳炎,车祸曲,阳炎眩乱,白阳炎,阳炎DAZE,阳炎Days,,,,,,,,,,,,,,,,,
199,チルノのパーフェクトさんすう教室,算数教室,琪露诺的完美算数教室,⑨,琪露诺,バカバカ,⑨舞,9舞,,,,,,,,,,,,,,,,,
200,Bad Apple!! feat nomico,坏苹果,烂苹果,坏林檎,,,,,,,,,,,,,,,,,,,,,
201,魔理沙は大変なものを盗んでいきました,魔理沙偷走了重要的东西,魔理沙,被刑拘,魔理沙的大便,,,,,,,,,,,,,,,,,,,,
202,Grip & Break down !!,,,,,,,,,,,,,,,,,,,,,,,,
203,"Help me, ERINNNNNN!!",erin,救救,,,,,,,,,,,,,,,,,,,,,,
204,ナイト・オブ・ナイツ,夜骑,十六夜咲夜,pad,nok,night of knight,night of knights,,,,,,,,,,,,,,,,,,
205,全人類ノ非想天則,非想天則,打则死路一条,非想天则,大机器人,则,开高达,,,,,,,,,,,,,,,,,,
206,しゅわスパ大作戦☆,修哇,修哇大作战,下药歌,野兽妹,,,,,,,,,,,,,,,,,,,,
207,時空を超えて久しぶり！,puyopuyo,噗哟噗哟,时空,,,,,,,,,,,,,,,,,,,,,
208,Her Dream Is To Be A Fantastic Sorceress,女足梦想,噗哟噗哟2,噗哟噗哟,,,,,,,,,,,,,,,,,,,,,
209,ココロスキャンのうた,心灵扫描歌,捂裆男,白色小人,捂裆歌,,,,,,,,,,,,,,,,,,,,
212,神室雪月花,雪月花,如龙,,,,,,,,,,,,,,,,,,,,,,
213,KONNANじゃないっ！,柯南,困难,女如龙,粉色小裙子,全换,遥,,,,,,,,,,,,,,,,,,
214,awake,醒了,起了,,,,,,,,,,,,,,,,,,,,,,
216,Mysterious Destiny,贝姐,神秘命运,,,,,,,,,,,,,,,,,,,,,,
217,Riders Of The Light,驭光者,猎天使魔女,,,,,,,,,,,,,,,,,,,,,,
218,Terminal Storm,,,,,,,,,,,,,,,,,,,,,,,,
219,記憶、記録,记忆记录,恐怖谷,,,,,,,,,,,,,,,,,,,,,,
220,セガサターン起動音[H.][Remix],启动音,世嘉土星启动音,起动音,转圈练习,土星,,,,,,,,,,,,,,,,,,,
223,夜咄ディセイブ,夜咄,kano角色歌,夜咄deceive,,,,,,,,,,,,,,,,,,,,,
224,ウサテイ,兔子快跑,帝帝跑跑跑,兔子,,,,,,,,,,,,,,,,,,,,,
225,sweet little sister,甜小姐姐,甜二妹,甜小妹,,,,,,,,,,,,,,,,,,,,,
226,Blew Moon,吹月,口区,蓝月亮,,,,,,,,,,,,,,,,,,,,,
227,Garakuta Doll Play,GDP,鬼牌,小丑,果丹皮,鸡滴屁,国内生产总值,小丑变魔术,轨道炮,狗弟屁,t+p教你打扑克,,,,,,,,,,,,,,
228,Dreampainter,梦境绘画者,,,,,,,,,,,,,,,,,,,,,,,
229,ぐるぐるWASH！コインランドリー・ディスコ,洗衣房,suomi,洗衣机,咕噜咕噜wash,,,,,,,,,,,,,,,,,,,,
230,CYCLES,马瓦鲁,马挖路,轮回,马洼路,马瓦路,马哇撸,马洼路,🐴哇路,,,,,,,,,,,,,,,,
231,Heartbeats,心动,,,,,,,,,,,,,,,,,,,,,,,
232,Life Feels Good,生活感觉好,好日子,感觉很好,LFG,,,,,,,,,,,,,,,,,,,,
233,MYTHOS,小提琴,神话,味增,,,,,,,,,,,,,,,,,,,,,
234,End of Twilight,暮光终结,暮光的尽处,eot,,,,,,,,,,,,,,,,,,,,,
235,火炎地獄,火炎地狱,皮炎地狱,77乐园,,,,,,,,,,,,,,,,,,,,,
236,ユビキリ,拉勾勾,狗粮,指切,,,,,,,,,,,,,,,,,,,,,
237,Pixel Voyage,小飞机,像素,,,,,,,,,,,,,,,,,,,,,,
238,Get Happy,爽了,给爽,,,,,,,,,,,,,,,,,,,,,,
239,System “Z”,系统z,系统,系统贼,,,,,,,,,,,,,,,,,,,,,
240,Beat of getting entangled,boge,胡来的处男,胡辣汤,,,,,,,,,,,,,,,,,,,,,
241,Cosmic Train,宇宙列车,宇宙小火车,,,,,,,,,,,,,,,,,,,,,,
242,ナミダと流星,眼泪与流星,眼泪流星,流星,流星一笔画,,,,,,,,,,,,,,,,,,,,
244,おても☆Yan,阿铁摸呀,陕北民歌,阿铁摸鸭,山歌,,,,,,,,,,,,,,,,,,,,
246,maiム・maiム feat.週刊少年マガジン,周刊少年,周刊,,,,,,,,,,,,,,,,,,,,,,
247,Danza zandA,小号歌,蛋砸砸蛋,,,,,,,,,,,,,,,,,,,,,,
248,Backyun! －悪い女－,,,,,,,,,,,,,,,,,,,,,,,,
251,Monochrome Rainbow,单色彩虹,黑白彩虹,,,,,,,,,,,,,,,,,,,,,,
252,みんなのマイマイマー,大家的maimai吗,maimai,大家的maimaimer,maimaimer,,,,,,,,,,,,,,,,,,,,
253,円舞曲、君に,圆舞曲,舞曲,,,,,,,,,,,,,,,,,,,,,,
254,Live & Learn,SA2,,,,,,,,,,,,,,,,,,,,,,,
255,Burning Hearts ～炎のANGEL～,BR,烧心,炎天使,,,,,,,,,,,,,,,,,,,,,
256,いーあるふぁんくらぶ,,,,,,,,,,,,,,,,,,,,,,,,
258,Nyan Cat EX,彩虹猫,nyanyanyanyan,,,,,,,,,,,,,,,,,,,,,,
259,ぽっぴっぽー,蔬菜歌,蔬菜汁,,,,,,,,,,,,,,,,,,,,,,
260,LUCIA,露西亚,,,,,,,,,,,,,,,,,,,,,,,
261,Death Scythe,死镰,死镰1,,,,,,,,,,,,,,,,,,,,,,
262,BREAK YOU!!,破坏你,绝赞你,,,,,,,,,,,,,,,,,,,,,,
263,JUMPIN' JUMPIN',跳跳,,,,,,,,,,,,,,,,,,,,,,,
264,L'épilogue,法文歌,尾声,,,,,,,,,,,,,,,,,,,,,,
265,Save This World νMIX,拯救世界,救世,救世啊,,,,,,,,,,,,,,,,,,,,,
266,Living Universe,住在宇宙,活宇宙,,,,,,,,,,,,,,,,,,,,,,
267,Ignite Infinity,,,,,,,,,,,,,,,,,,,,,,,,
268,トルコ行進曲 - オワタ＼(^o^)／,土耳其进行曲,土耳其,完蛋,OWATA,,,,,,,,,,,,,,,,,,,,
269,裏表ラバーズ,里表,里表情人,,,,,,,,,,,,,,,,,,,,,,
270,Outlaw's Lullaby,如龙2,OL,12+如龙,,,,,,,,,,,,,,,,,,,,,
271,Brand-new Japanesque,全新日本人,11+如龙,,,,,,,,,,,,,,,,,,,,,,
278,レッツゴー!陰陽師,阴阳师,悪靈退散,豪血寺,标准结局,恶灵退散,,,,,,,,,,,,,,,,,,,
280,炉心融解,,,,,,,,,,,,,,,,,,,,,,,,
281,ダブルラリアット,,,,,,,,,,,,,,,,,,,,,,,,
282,からくりピエロ,活动小丑,小丑,一笔画,,,,,,,,,,,,,,,,,,,,,
283,ネトゲ廃人シュプレヒコール,网游废人,网费,网废,网游,废人,,,,,,,,,,,,,,,,,,,
284,むかしむかしのきょうのぼく,,,,,,,,,,,,,,,,,,,,,,,,
285,magician's operation,魔法师手术,魔术手,,,,,,,,,,,,,,,,,,,,,,
288,六兆年と一夜物語,,,,,,,,,,,,,,,,,,,,,,,,
289,みくみくにしてあげる♪【してやんよ】,把你mikumiku掉,,,,,,,,,,,,,,,,,,,,,,,
290,リリリリ★バーニングナイト,Burning Night,莉莉,lily,,,,,,,,,,,,,,,,,,,,,
291,ハロ／ハワユ,Hello how are you,袜套,八口,,,,,,,,,,,,,,,,,,,,,
293,Our Fighting,酋长,,,,,,,,,,,,,,,,,,,,,,,
295,緋色のDance,绯色,脑梗协调,绯色诺当斯,,,,,,,,,,,,,,,,,,,,,
296,明星ロケット,明星火箭,明星银河号,明星,,,,,,,,,,,,,,,,,,,,,
297,The Great Journey,tgj,,,,,,,,,,,,,,,,,,,,,,,
298,お嫁にしなさいっ！,结婚了,嫁,,,,,,,,,,,,,,,,,,,,,,
299,ロストワンの号哭,号哭,累死人,lostone的号哭,,,,,,,,,,,,,,,,,,,,,
300,Sweet Devil,甜蜜恶魔,,,,,,,,,,,,,,,,,,,,,,,
301,患部で止まってすぐ溶ける～狂気の優曇華院,,,,,,,,,,,,,,,,,,,,,,,,
302,ケロ⑨destiny,⑨,9,青蛙子,,,,,,,,,,,,,,,,,,,,,
303,"Endless, Sleepless Night",无尽不眠夜,,,,,,,,,,,,,,,,,,,,,,,
305,POP STAR,平井坚,,,,,,,,,,,,,,,,,,,,,,,
308,Back 2 Back,b2b,回二回,回两回,,,,,,,,,,,,,,,,,,,,,
309,神々の祈り,神祈,,,,,,,,,,,,,,,,,,,,,,,
310,エピクロスの虹はもう見えない,圣母,红美铃,美铃,美里,,,,,,,,,,,,,,,,,,,,
311,シアワセうさぎ,幸福兔,,,,,,,,,,,,,,,,,,,,,,,
312,ってゐ！ ～えいえんてゐVer～,因幡帝,,,,,,,,,,,,,,,,,,,,,,,
313,待チ人ハ来ズ。,待人未至,待人来,,,,,,,,,,,,,,,,,,,,,,
314,Cosmic Magic Shooter,宇宙魔术射手,魔术射手,摩托车,摩天轮,法界之火,魔法射手,,,,,,,,,,,,,,,,,,
315,深海少女,深海,阴间少女,,,,,,,,,,,,,,,,,,,,,,
316,M.S.S.Planet,planet,MSS,中二病,,,,,,,,,,,,,,,,,,,,,
318,東方スイーツ！～鬼畜姉妹と受難メイド～,鬼畜姐妹,,,,,,,,,,,,,,,,,,,,,,,
319,幻想のサテライト,,,,,,,,,,,,,,,,,,,,,,,,
320,最速最高シャッターガール,最速最高,文文,,,,,,,,,,,,,,,,,,,,,,
321,バラライカ,亚拉那一卡,空手道,巴拉莱卡琴,巴拉拉一卡,,,,,,,,,,,,,,,,,,,,
322,林檎華憐歌,林檎,大妈唱歌,林檎华怜歌,苹果,拜拜,黄金大便,beatmario的妈妈,拜拜！拜拜！,妈妈歌,,,,,,,,,,,,,,,
323,YATTA!,好耶！,亚达,好耶,,,,,,,,,,,,,,,,,,,,,
324,Jack-the-Ripper◆,开膛手杰克,杰哥雷普,开膛手,jtr,开膛手杰哥,,,,,,,,,,,,,,,,,,,
325,Windy Hill -Zone 1,追星上位,索4,小追星,,,,,,,,,,,,,,,,,,,,,
326,コトバ・カラフル,Kotoba colorful,575,舞立方,女同,,,,,,,,,,,,,,,,,,,,
327,タカハせ！名人マン,高桥名人,光头16连,高桥,纵连练习,名人,,,,,,,,,,,,,,,,,,,
328,言ノ葉カルマ,言叶业,言叶之业,,,,,,,,,,,,,,,,,,,,,,
329,かせげ！ジャリンコヒーロー,Jarinko Hero,,,,,,,,,,,,,,,,,,,,,,,
330,キズナの物語,锁链战记,羁绊物语,锁链,,,,,,,,,,,,,,,,,,,,,
331,Heart Beats,心跳,pulse,,,,,,,,,,,,,,,,,,,,,,
332,アゲアゲアゲイン,,,,,,,,,,,,,,,,,,,,,,,,
337,鼓動,鼓动,如龙维新,阿疼,猫抓板,,,,,,,,,,,,,,,,,,,,
339,DRAGONLADY,龙女,龙女士,龙玉涛,你舍得打破这片宁静么,,,,,,,,,,,,,,,,,,,,
341,二息歩行,二息步行,,,,,,,,,,,,,,,,,,,,,,,
342,ファンタジーゾーン OPA-OPA! -GMT remix-,Fantasy zone,,,,,,,,,,,,,,,,,,,,,,,
343,電車で電車でGO!GO!GO!GC! -GMT remix-,电车,电车GO,,,,,,,,,,,,,,,,,,,,,,
344,RIDGE RACER STEPS -GMT remix-,rrs,,,,,,,,,,,,,,,,,,,,,,,
345,リッジでリッジでGO!GO!GO! -GMT mashup-,电车gogogo,电车,电车go,,,,,,,,,,,,,,,,,,,,,
346,オパ! オパ! RACER -GMT mashup-,赛车,,,,,,,,,,,,,,,,,,,,,,,
347,電車で電車でOPA!OPA!OPA! -GMT mashup-,电车,星星电车,opa电车,电池opa,,,,,,,,,,,,,,,,,,,,
348,Axeria,ax,啊歇了啊,好累啊,诶插,阿克塞利亚,,,,,,,,,,,,,,,,,,,
349,ピーマンたべたら,青椒,老鼠,,,,,,,,,,,,,,,,,,,,,,
351,MIRROR of MAGIC,MoM,镜魔,魔镜,,,,,,,,,,,,,,,,,,,,,
352,究極焼肉レストラン！お燐の地獄亭！,究极烧肉,烤肉,,,,,,,,,,,,,,,,,,,,,,
353,shake it!,摇它,自行车,,,,,,,,,,,,,,,,,,,,,,
356,1/3の純情な感情,,,,,,,,,,,,,,,,,,,,,,,,
358,毒占欲,,,,,,,,,,,,,,,,,,,,,,,,
359,YU-MU,妖梦,,,,,,,,,,,,,,,,,,,,,,,
360,物凄い勢いでけーねが物凄いうた,物凄,慧音,嘎哦嘎哦,三倍ice cream,三倍icecream,,,,,,,,,,,,,,,,,,,
362,BETTER CHOICE,更好的选择,,,,,,,,,,,,,,,,,,,,,,,
363,Oshama Scramble!,,,,,,,,,,,,,,,,,,,,,,,,
364,D✪N’T  ST✪P  R✪CKIN’,机器人跳舞,,,,,,,,,,,,,,,,,,,,,,,
365,ガラテアの螺旋,螺旋,大宇宙,嘟嘟嘟嘟嘟嘟嘟,,,,,,,,,,,,,,,,,,,,,
366,oboro,小火球,小火苗,小火花,胧,higedriver,,,,,,,,,,,,,,,,,,,
367,Dragoon,龙,龙骑士,多拉贡,龙骑兵,,,,,,,,,,,,,,,,,,,,
374,アンハッピーリフレイン,unhappy refrain,不高兴的副歌,散弹枪,unhappy,,,,,,,,,,,,,,,,,,,,
375,One Step Ahead,向前一步走,伊东歌词太郎,,,,,,,,,,,,,,,,,,,,,,
376,L9,绿9,轴交互,老九,,,,,,,,,,,,,,,,,,,,,
378,planet dancer,星球舞者,爸爸拉粑粑,池面,,,,,,,,,,,,,,,,,,,,,
379,Caliburne ～Story of the Legendary sword～,生煎,圣剑,圣剑1,福瑞1,咖喱棒,小圣剑,生煎1,,,,,,,,,,,,,,,,,
380,どうしてこうなった,这怎么发生的,为什么会变成这样呢,跳舞狗,怎会如此,,,,,,,,,,,,,,,,,,,,
381,B.B.K.K.B.K.K.,bk,bbkkbkk,bbkk,Bass kick,汉堡王,↓↓↑↑↓↑↑,3b4k,,,,,,,,,,,,,,,,,
382,おこちゃま戦争,孩子气的战争,,,,,,,,,,,,,,,,,,,,,,,
383,Link,,,,,,,,,,,,,,,,,,,,,,,,
384,VERTeX,水神,VOLTeX,,,,,,,,,,,,,,,,,,,,,,
385,Ignis Danse,火神,伊格尼斯丹斯,跳舞,,,,,,,,,,,,,,,,,,,,,
386,Scars of FAUNA,土神,,,,,,,,,,,,,,,,,,,,,,,
387,FUJIN Rumble,风神,福晋软贝,福建兰博,,,,,,,,,,,,,,,,,,,,,
388,きたさいたま2000,中年社畜的怒吼,塞他妈,北埼玉,北埼玉2000,kita,北,全网最帅五兄弟,2000,下北泽2000,,,,,,,,,,,,,,,
389,FLOWER,扶老二,花,大十字,公交车,金塔,,,,,,,,,,,,,,,,,,,
390,Got more raves？,郭沫若,gmr,雷神,E.G.G.,egg,蝴蝶,,,,,,,,,,,,,,,,,,
399,不毛！,不毛,牙白,拔毛,,,,,,,,,,,,,,,,,,,,,
400,デッドレッドガールズ,死红女,,,,,,,,,,,,,,,,,,,,,,,
401,赤心性：カマトト荒療治,赤心性,苏祖母,suzumu,,,,,,,,,,,,,,,,,,,,,
403,悪戯,恶戏,恶作剧,,,,,,,,,,,,,,,,,,,,,,
404,響縁,响缘,响绿,,,,,,,,,,,,,,,,,,,,,,
407,LOL -lots of laugh-,,,,,,,,,,,,,,,,,,,,,,,,
408,クローバー♣クラブ,,,,,,,,,,,,,,,,,,,,,,,,
409,妄想税,,,,,,,,,,,,,,,,,,,,,,,,
410,どういうことなの！？,,,,,,,,,,,,,,,,,,,,,,,,
411,初音ミクの消失,消失,初音未来的消失,Master33,这歌好快啊,老婆不见了,初音未来的炸开，我消失了,我底力消失了,,,,,,,,,,,,,,,,,
412,イノコリ先生,先生,留堂老师,男同老师,男同,,,,,,,,,,,,,,,,,,,,
413,キャプテン・ムラサのケツアンカー,船长,村纱,,,,,,,,,,,,,,,,,,,,,,
