maimai DX 歌曲别名收集计划（@AkihaBot 版）,,,,,,,,,,,,,,,,,,,,,,,,,
752,true my heart -Lovable mix-,黄油,童话,,,,,,,,,,,,,,,,,,,,,,
753,Rodeo Machine,广播,绿皮星星歌,马,绿马,绿手,,,,,,,,,,,,,,,,,,,
754,Arrival of Tears,,,,,,,,,,,,,,,,,,,,,,,,
756,CYBER Sparks,cs,魔理沙爆炸,魔光炮,反恐精英,电火花,,,,,,,,,,,,,,,,,,,
757,Xevel,黑白双gay,x,xlevel,tatsh,清水大爷,,,,,,,,,,,,,,,,,,,
758,INFINITE WORLD,文文,射命丸文,,,,,,,,,,,,,,,,,,,,,,
759,サドマミホリック,灵梦撒币,撒钱灵梦,大狸子,,,,,,,,,,,,,,,,,,,,,
760,Ragnarok,诸神的黄昏,诸神黄昏,圣战,rag,,,,,,,,,,,,,,,,,,,,
761,このふざけた素晴らしき世界は、僕の為にある,,,,,,,,,,,,,,,,,,,,,,,,
762,このピアノでお前を8759632145回ぶん殴る,钢琴,8759632145,砸钢琴,钢琴殴,,,,,,,,,,,,,,,,,,,,
763,はやくそれになりたい！,音街,石油王,,,,,,,,,,,,,,,,,,,,,,
764,フィクサー,fixer,修人,,,,,,,,,,,,,,,,,,,,,,
765,みんなの,兽道,,,,,,,,,,,,,,,,,,,,,,,
766,アマノジャクリバース feat. ｙｔｒ,天邪鬼反转,天邪鬼,过马路,ytr,灵梦过马路,,,,,,,,,,,,,,,,,,,
767,進捗どうですか？,进步,进度,健身,进展,,,,,,,,,,,,,,,,,,,,
768,"Help me, あーりん！",教我，永琳！,erin！erin！,,,,,,,,,,,,,,,,,,,,,,
769,なるとなぎのパーフェクトロックンロール教室,琪露诺的完美算数教室,⑨,琪露诺,彩绿9,完美算术教室,,,,,,,,,,,,,,,,,,,
770,あねぺったん,Anepettan,贫乳,,,,,,,,,,,,,,,,,,,,,,
771,We Gonna Journey,我们要旅行,wgj,,,,,,,,,,,,,,,,,,,,,,
772,FREEDOM DiVE (tpz Overcute Remix),FD,自由落体,FDFD,自由下落,昨日に奏でる明日の歌(overcute remix）,雷亚金曲（）,自由坠毁,自由摔死,,,,,,,,,,,,,,,,
773,SILENT BLUE,静蓝,SB,水晶冲天钻,烧饼,,,,,,,,,,,,,,,,,,,,
774,甲賀忍法帖,甲贺忍法帖,,,,,,,,,,,,,,,,,,,,,,,
775,ジンギスカン,成吉思汗,羊肉,,,,,,,,,,,,,,,,,,,,,,
776,にじよめちゃん体操第一億,体操,体操一亿,拼机必点,氪金曲,体操第一亿,,,,,,,,,,,,,,,,,,,
777,花と、雪と、ドラムンベース。,花一轮,花雪,等一个好姐妹出勤,日本ktv,电音老阿妈,阿拉一起你,FAR一轮,花花花花花一轮,21.5Kcal,21.5大卡,花一輪,,,,,,,,,,,,,
778,Conquista Ciela,,,,,,,,,,,,,,,,,,,,,,,,
779,怒槌,怒锤,怒捶,光吉猛修,我的脾气,被锤,做披萨,必胜客,ikazuchi,,,,,,,,,,,,,,,,
781,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,seyana,说的事呢,小茜,せやな,,,,,,,,,,,,,,,,,,,,
782,おねがいダーリン,拜托了darling,darling,,,,,,,,,,,,,,,,,,,,,,
786,My First Phone,小灵通,电话,手机,打电话,小电话,没发票,,,,,,,,,,,,,,,,,,
787,SHINY DAYS,摇曳露营,,,,,,,,,,,,,,,,,,,,,,,
788,NOISY LOVE POWER☆,,,,,,,,,,,,,,,,,,,,,,,,
789,ネ！コ！,neko,野良与皇女与流浪猫之心,你,,,,,,,,,,,,,,,,,,,,,
790,only my railgun,电磁炮,,,,,,,,,,,,,,,,,,,,,,,
791,ロールプレイングゲーム,rpg,role playing game,,,,,,,,,,,,,,,,,,,,,,
792,ヒバナ,火花,七八十,,,,,,,,,,,,,,,,,,,,,,
793,ロキ,口丰,roki,口≠,ruaki,口干,口串,口土,,,,,,,,,,,,,,,,,
794,Money Money,骂你骂你,钱钱,🤑🤑🤑🤑,神乐mea,,,,,,,,,,,,,,,,,,,,
796,極圏,极圈,极圈儿,SDVX,,,,,,,,,,,,,,,,,,,,,
797,Scarlet Lance,红枪,绯红之枪,斯卡雷特之枪,狗叼叉子,粪叉,狗狗咬红枪,,,,,,,,,,,,,,,,,,
798,セイクリッド　ルイン,太鼓达人,圣墟,圣灭,肾虚,蓝月亮,,,,,,,,,,,,,,,,,,,
799,QZKago Requiem,茄子卡狗,茄子,qzk,qz,黑猫打白猫,gdp2,毒牛奶,噎死那个羊,巧克力大战香子兰,牛奶打架,别踩我的jio,クジカゴ（kujikago,クズカゴ,假奶,猫打架,期中考,垃圾箱,白茄子,毒奶,,,,,
800,EVERGREEN,常绿,一直绿,青春永驻,,,,,,,,,,,,,,,,,,,,,
801,金の聖夜霜雪に朽ちて,,,,,,,,,,,,,,,,,,,,,,,,
802,不思議の国のクリスマス,不思议,不可思议,反海底谭,不思议国,东方圣诞,小海底谭,,,,,,,,,,,,,,,,,,
803,Schwarzschild,四川火娃,四川白娃,四川火娃弱智齿轮队,火娃,白娃,黑盾,史瓦西,,,,,,,,,,,,,,,,,
804,Magical Sound Shower,,,,,,,,,,,,,,,,,,,,,,,,
805,片想いサンバ,片想,,,,,,,,,,,,,,,,,,,,,,,
806,ナイトメア☆パーティーナイト,Nightmare Party Night,,,,,,,,,,,,,,,,,,,,,,,
807,フキゲンワルツ,,,,,,,,,,,,,,,,,,,,,,,,
809,結ンデ開イテ羅刹ト骸,连起来又分开，罗刹与骨骸,罗刹,结骸,罗刹与骸,分分合合的罗刹与骸,罗刹骸,结罗刹,结开罗刹骸,,,,,,,,,,,,,,,,
810,サウンド,,,,,,,,,,,,,,,,,,,,,,,,
811,右肩の蝶,右肩之蝶,,,,,,,,,,,,,,,,,,,,,,,
812,Alea jacta est!,黑人打架,击剑,白人打架,孤注一掷,🤺,白人划船,黑人击剑,,,,,,,,,,,,,,,,,
815,L4TS:2018 (feat. あひる & KTA),白毛,,,,,,,,,,,,,,,,,,,,,,,
816,クレイジークレイジーダンサーズ,ccd,疯狂疯狂跳舞,疯狂舞者,,,,,,,,,,,,,,,,,,,,,
817,【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,建前,秘神,,,,,,,,,,,,,,,,,,,,,,
818,隠然,隐然,,,,,,,,,,,,,,,,,,,,,,,
819,White Traveling Girl,白色旅行少女,白旅女,白色旅人,伊蕾娜,白游女,,,,,,,,,,,,,,,,,,,
820,FFT,傅立叶快速变换,肥肥头,快速傅里叶变换,狒狒头,付费通,发发图,疯疯兔,粪粪掏,扶扶她,扶芳藤,反复掏,法法踢,傅里叶,,,,,,,,,,,
821,-OutsideR:RequieM-,泡面,箱部吃泡面,,,,,,,,,,,,,,,,,,,,,,
822,イロトリドリのメロディ,彩绿之歌,Irotoridori no melody,,,,,,,,,,,,,,,,,,,,,,
823,奏者はただ背中と提琴で語るのみ,奏者,,,,,,,,,,,,,,,,,,,,,,,
824,Deep in Abyss,来自深渊,,,,,,,,,,,,,,,,,,,,,,,
825,雷切-RAIKIRI-,雷切,,,,,,,,,,,,,,,,,,,,,,,
826,キミとボクのミライ,,,,,,,,,,,,,,,,,,,,,,,,
827,Lost Princess,,,,,,,,,,,,,,,,,,,,,,,,
828,アリサのテーマ,,,,,,,,,,,,,,,,,,,,,,,,
829,敗北の少年,败北少年,败北的少年,,,,,,,,,,,,,,,,,,,,,,
830,立ち入り禁止,立入禁止,禁止,啊疼,痛い,地铁,,,,,,,,,,,,,,,,,,,
831,お気に召すまま,如你所愿,皆大欢喜,,,,,,,,,,,,,,,,,,,,,,
832,命ばっかり,全是命,命没,只为生命,命,,,,,,,,,,,,,,,,,,,,
833,the EmpErroR,皇帝,您,国王,土皇帝,,,,,,,,,,,,,,,,,,,,
834,PANDORA PARADOXXX,潘多拉,潘,儿歌,您,白潘,你,パンパラ,金曲,潘你马,大家,你游最简单的歌,,,,,,,,,,,,,
835,Believe the Rainbow,相信彩虹,告别曲,彩虹,FULL COMBO 50%,ED,TRACK 5/4,,,,,,,,,,,,,,,,,,
836,"Good Bye, Mr. Jack",再见杰哥,再见杰克,杰哥,,,,,,,,,,,,,,,,,,,,,
837,Altale,机器人钓鱼,阿泰尔,机器人,小机器人,,,,,,,,,,,,,,,,,,,,
838,最終鬼畜妹フランドール・S,蓝蓝路,鬼畜妹,最终鬼畜妹,,,,,,,,,,,,,,,,,,,,,
839,ネクロファンタジア～Arr.Demetori,少女幻葬,八云蓝,,,,,,,,,,,,,,,,,,,,,,
840,Imperishable Night 2006 (2016 Refine),2006,2016,2026,2036,2077,永夜的报应,,,,,,,,,,,,,,,,,,
841,終点,终点,,,,,,,,,,,,,,,,,,,,,,,
842,WORLD'S END UMBRELLA,世末伞,世末,,,,,,,,,,,,,,,,,,,,,,
843,ワンダーラスト,,,,,,,,,,,,,,,,,,,,,,,,
844,End Time,恩德太,嗯了么,et,贤者时间,,,,,,,,,,,,,,,,,,,,
847,カラフル×メロディ,,,,,,,,,,,,,,,,,,,,,,,,
848,魔法少女になるしかねぇ,魔法少女,,,,,,,,,,,,,,,,,,,,,,,
849,Kattobi KEIKYU Rider,卡透批来打,丁丁电车,列车,京急,京急电车,电车萝莉,叮叮电车,电车妹,开火车,叮叮车,,,,,,,,,,,,,,
850,B.M.S.,bms,光吉,光吉猛修之父,吃披萨,披萨,,,,,,,,,,,,,,,,,,,
852,TiamaT:F minor,提亚马特,音响龙,剃阿妈头发,五颜六色,绝赞交互,,,,,,,,,,,,,,,,,,,
853,前前前世,你的名字,君名,,,,,,,,,,,,,,,,,,,,,,
1020,Technicians High,,,,,,,,,,,,,,,,,,,,,,,,
1051,Destr0yer,,,,,,,,,,,,,,,,,,,,,,,,
1081,サンバランド,,,,,,,,,,,,,,,,,,,,,,,,
1085,Halcyon,,,,,,,,,,,,,,,,,,,,,,,,
10021,コネクト,小圆op,联系,connect,虚渊玄,小圆脸,小圆,魔法少女小圆,,,,,,,,,,,,,,,,,
10125,千本桜,千本樱,,,,,,,,,,,,,,,,,,,,,,,
10145,Starlight Disco,星光迪斯科,,,,,,,,,,,,,,,,,,,,,,,
10146,39,三玖,蹭,参上,放烟花,,,,,,,,,,,,,,,,,,,,
10181,君の知らない物語,你不知道的故事,君知,君知物语,物语,物语,,,,,,,,,,,,,,,,,,,
10188,天ノ弱,天之弱,天弱,天邪鬼,你星星绿了,,,,,,,,,,,,,,,,,,,,
10191,脳漿炸裂ガール,脑浆,脑浆炸裂女孩,脑浆炸裂,脑炸,脑浆子,,,,,,,,,,,,,,,,,,,
10193,セツナトリップ,刹那旅行,sp29,刹那之旅,刹那旅程,,,,,,,,,,,,,,,,,,,,
10202,Grip & Break down !!,gbd,铁拳,,,,,,,,,,,,,,,,,,,,,,
10256,いーあるふぁんくらぶ,王力宏,12fan,我爱你,嗨嗨China,12粉丝俱乐部,嗨嗨拆那,,,,,,,,,,,,,,,,,,
10288,六兆年と一夜物語,六兆年,希腊奶,🇬🇷🥛,安慕希,六兆年一夜物语,六兆年零一夜的故事,,,,,,,,,,,,,,,,,,
10301,患部で止まってすぐ溶ける～狂気の優曇華院,患部,优云华院,撒尿撒尿,优昙华院,马应龙,患部止,谁要谁要,,,,,,,,,,,,,,,,,
10319,幻想のサテライト,幻想卫星,卫星,幻想,,,,,,,,,,,,,,,,,,,,,
10363,Oshama Scramble!,牛奶,哦杀妈,牛奶猫,热辣大飞机,偶杀妈 实诚人阿妈爆了,假奶害猫,强身健体,奶,牛奶歌,欧杀妈,,,,,,,,,,,,,,
10420,Change Our MIRAI！,改变未来,com,,,,,,,,,,,,,,,,,,,,,,
10475,かくしん的☆めたまるふぉ～ぜっ！,小埋op,有木有wifi,,,,,,,,,,,,,,,,,,,,,,
10500,シュガーソングとビターステップ,,,,,,,,,,,,,,,,,,,,,,,,
10501,Daydream café,点兔,白日梦咖啡厅,,,,,,,,,,,,,,,,,,,,,,
10536,月に叢雲華に風,月丛云,月风,月从云华从风,幻想万华镜OP2,月丛云华风,,,,,,,,,,,,,,,,,,,
10552,ゴーストルール,幽灵法则,Ghost rule,狗斯特露露,,,,,,,,,,,,,,,,,,,,,
10560,回レ！雪月花,旋转吧！雪月花,机巧少女不会受伤,雪月花,,,,,,,,,,,,,,,,,,,,,
10572,Scream out! -maimai SONIC WASHER Edit-,赞不绝口,美国紫妈,风神录EX,阿姨,,,,,,,,,,,,,,,,,,,,
10593,conflict,公交车,冲突,bus,对立,康福利克特,,,,,,,,,,,,,,,,,,,
10602,taboo tears you up,三倍icecream,,,,,,,,,,,,,,,,,,,,,,,
10615,Paradisus-Paradoxum,,,,,,,,,,,,,,,,,,,,,,,,
10641,Calamity Fortune,cf,卡拉米提佛纯,穿越火线,常发,东风谷早苗,,,,,,,,,,,,,,,,,,,
10665,チルノのパーフェクトさんすう教室　⑨周年バージョン,9周年教室,笨蛋教室,九周年,baka,圈儿9,⑨,⑨舞,9舞,,,,,,,,,,,,,,,,
10668,ようこそジャパリパークへ,,,,,,,,,,,,,,,,,,,,,,,,
10690,ダンスロボットダンス,跳舞机器人,drd,奶油糖金曲,机器人跳舞,dance,dance robot dance,,,,,,,,,,,,,,,,,,
10702,WARNING×WARNING×WARNING,注意注意注意,条纹过膝袜,星条旗,美国妖精,warning*3,克劳恩皮丝,小丑,非常的野蛮，非常的谔谔,⚠⚠⚠,,,,,,,,,,,,,,,
10706,シャルル,夏露露,三力儿儿,氵节儿儿,三节儿儿,查尔斯,沙露露,,,,,,,,,,,,,,,,,,
10728,POP TEAM EPIC,,,,,,,,,,,,,,,,,,,,,,,,
10734,ENERGY SYNERGY MATRIX,ESM,傻吊猫,沙雕猫,跑,神经猫,からめる,e m s,💨,,,,,,,,,,,,,,,,
11001,BLACK ROSE,黑玫瑰,,,,,,,,,,,,,,,,,,,,,,,
11002,Secret Sleuth,ss,秘密侦探,,,,,,,,,,,,,,,,,,,,,,
11003,でらっくmaimai♪てんてこまい!,滴蜡熊,dx主题曲,迪拉熊,熊代主题曲,手忙脚乱,手萌脚乱,,,,,,,,,,,,,,,,,,
11004,MAXRAGE,绝赞交互,极怒,良怒2,满怒,怒气冲天,狂怒,贼生气,气炸了,怒砸洗衣机,,,,,,,,,,,,,,,
11005,バーチャルダム　ネーション,赛车,细江赛车,VN,,,,,,,,,,,,,,,,,,,,,
11006,P-qoq,灯射来红,拉面火箭,Q宝,火箭,红来射灯,孔雀,,,,,,,,,,,,,,,,,,
11007,超常マイマイン,超常maimai,超常,滴蜡熊转圈,咕噜咕噜,,,,,,,,,,,,,,,,,,,,
11008,Crazy Circle,疯圈,黑喂狗,,,,,,,,,,,,,,,,,,,,,,
11009,STEREOSCAPE,164,stereotype,,,,,,,,,,,,,,,,,,,,,,
11010,STARTLINER,音击,,,,,,,,,,,,,,,,,,,,,,,
11014,♡マイマイマイラブ♡,my my my love,sega游戏宇宙一,からめる,,,,,,,,,,,,,,,,,,,,,
11015,一か罰,一力罚,一刀罚,一加罚,一罚,,,,,,,,,,,,,,,,,,,,
11016,キリキリ舞Mine,girigiri舞,girigirimaimai,,,,,,,,,,,,,,,,,,,,,,
11017,福宿音屋魂音泉,魂音泉,男同温泉,福州男友玉谷泉,基佬泉,土嗨泉,,,,,,,,,,,,,,,,,,,
11018,Now or Never,现在或从不,non,机不可失,,,,,,,,,,,,,,,,,,,,,
11019,Scarlet Wings,猩红之翼,小星星2,REDALiCE,红翅膀子,红翼,,,,,,,,,,,,,,,,,,,
11020,Technicians High,科技高,高科技,高级技工,高技术员,,,,,,,,,,,,,,,,,,,,
11021,魔ジョ狩リ,魔女狩猎,魔狩,魔女,,,,,,,,,,,,,,,,,,,,,
11022,TwisteD! XD,xd,dxd,灯小灯,,,,,,,,,,,,,,,,,,,,,
11023,Blows Up Everything,吹爆,吹,瞎几把吹,吹爆一切,拆爆,社保,blows,blows up everything,USAO,,,,,,,,,,,,,,,
11024,Agitation！,鼓动,,,,,,,,,,,,,,,,,,,,,,,
11025,管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,管弦乐,g弦,管弦乐组曲,g弦上,双踩,G弦上的咏叹调,,,,,,,,,,,,,,,,,,
11026,TEmPTaTiON,小萝莉,诱惑,小萝莉的诱惑,引诱,temp,摊破忒神,悄悄话,疼破忒肾,,,,,,,,,,,,,,,,
11027,アポカリプスに反逆の焔を焚べろ,反逆,反逆焰,向天启敬上反叛的火焰,反逆焰焚,天启,反焰,,,,,,,,,,,,,,,,,,
11028,玩具狂奏曲 -終焉-,玩具,玩具狂揍我,,,,,,,,,,,,,,,,,,,,,,
11029,Titania,泰坦尼亚,踢他娘,体坛,缇坦妮娅,泰坦,🐻👧✌,蓝毛小萝莉,蓝色小浣熊,天天尼亚,塞泰坦尼亚,,,,,,,,,,,,,,
11030,BOKUTO,波裤头,,,,,,,,,,,,,,,,,,,,,,,
11031,立川浄穢捕物帳,立川,立川净秽捕物帐,青岛侦探事务所,单手拍,,,,,,,,,,,,,,,,,,,,
11032,CHOCOLATE BOMB!!!!,巧克力炸弹,,,,,,,,,,,,,,,,,,,,,,,
11034,METEOR,流星,,,,,,,,,,,,,,,,,,,,,,,
11035,LOSER,八爷,樱子,我,我不,你,猴子,大家都,他,,,,,,,,,,,,,,,,
11036,U.S.A.,usa,美国,阿美莉卡,阿妹你看,come on baby,,,,,,,,,,,,,,,,,,,
11037,HOT LIMIT,热限,摇可乐,,,,,,,,,,,,,,,,,,,,,,
11038,新宝島,新宝岛,恐龙妈妈,丁宁,林檎电脑,提笔忘字,五大流氓,仙人指路,提笔忘字,光翼展开,战术踉跄,龙卷风偷袭停车场,一睹芳容,物业敲门,,,,,,,,,,,
11039,UNION,,,,,,,,,,,,,,,,,,,,,,,,
11041,乗ってけ！ジャパリビート,,,,,,,,,,,,,,,,,,,,,,,,
11042,フレ！フレ！ベストフレンズ,,,,,,,,,,,,,,,,,,,,,,,,
11043,メルト,melt,啦啦啦啦啦啦啦,X儿卜,梅鲁特,咩露拖,,,,,,,,,,,,,,,,,,,
11044,メルティランドナイトメア,melty land nightmare,小粉,春卷饭,,,,,,,,,,,,,,,,,,,,,
11045,アウトサイダー,outsider,局外人,,,,,,,,,,,,,,,,,,,,,,
11046,アディショナルメモリー,额外记忆,dx阳炎,,,,,,,,,,,,,,,,,,,,,,
11047,ジャガーノート,juggernaut,不可抗力,,,,,,,,,,,,,,,,,,,,,,
11048,ナイト・オブ・ナイツ (Cranky Remix),喜羊羊,dx夜骑,cranky夜骑,夜骑remix,夜骑2,,,,,,,,,,,,,,,,,,,
11049,Bad Apple!! feat.nomico (REDALiCE Remix),坏苹果remix,烂苹果remix,bad apple二段曲,坏苹果,,,,,,,,,,,,,,,,,,,,
11050,Strobe♡Girl,,,,,,,,,,,,,,,,,,,,,,,,
11051,Destr0yer,d0,削除光线,毁灭者,方块头,削除x2,削除射线,方脑壳,destroyer,,,,,,,,,,,,,,,,
11052,グリーンライツ・セレナーデ,绿光小夜曲,小夜曲,绿光,拆机,,,,,,,,,,,,,,,,,,,,
11055,POPPY PAPPY DAY,,,,,,,,,,,,,,,,,,,,,,,,
11056,Clattanoia,,,,,,,,,,,,,,,,,,,,,,,,
11057,The Gong of Knockout,,,,,,,,,,,,,,,,,,,,,,,,
11058,デンパラダイム,电波,带带带,,,,,,,,,,,,,,,,,,,,,,
11059,骸骨楽団とリリア,莉莉亚,骸骨乐团,骸骨,骸骨乐团,,,,,,,,,,,,,,,,,,,,
11060,星屑ユートピア,星屑乌托邦,星屑,,,,,,,,,,,,,,,,,,,,,,
11061,アマツキツネ,天狐,起飞,,,,,,,,,,,,,,,,,,,,,,
11062,徒花ネクロマンシー,,,,,,,,,,,,,,,,,,,,,,,,
11063,目覚めRETURNER,佐贺,佐贺偶像是传奇,,,,,,,,,,,,,,,,,,,,,,
11064,"Little ""Sister"" Bitch",婊子,小婊子,碧池,小婊妹,小婊砸,小姐婊,,,,,,,,,,,,,,,,,,
11065,Yakumo >>JOINT STRUGGLE (2019 Update),八云紫,八云,yakumo,八云一家,,,,,,,,,,,,,,,,,,,,
11066,げきオコスティックファイナリアリティぷんぷんマスタースパーク,Geki Okostic Finality Plump Master Spark,生气了,,,,,,,,,,,,,,,,,,,,,,
11067,CocktaiL,鸡尾酒,,,,,,,,,,,,,,,,,,,,,,,
11069,太陽系デスコ,太阳系disco,太阳系,拍手,呱唧呱唧,,,,,,,,,,,,,,,,,,,,
11070,だからパンを焼いたんだ,烧面包,面包,烤面包,,,,,,,,,,,,,,,,,,,,,
11071,東奔西走行進曲,东奔西走行进曲,东奔西走,,,,,,,,,,,,,,,,,,,,,,
11072,Soul-ride ON!,,,,,,,,,,,,,,,,,,,,,,,,
11073,アカリがやってきたぞっ,光在这里,gyari,akari来了哦,,,,,,,,,,,,,,,,,,,,,
11075,プナイプナイせんそう,噗奶噗奶,punai,噗奶,立秋,,,,,,,,,,,,,,,,,,,,
11076,未完成人,,,,,,,,,,,,,,,,,,,,,,,,
11077,デビル☆アイドル,恶魔偶像,,,,,,,,,,,,,,,,,,,,,,,
11078,quiet room,静屋,qr,自习室,,,,,,,,,,,,,,,,,,,,,
11080,Jump!! Jump!! Jump!!,跳跳跳,,,,,,,,,,,,,,,,,,,,,,,
11081,サンバランド,桑巴,体操,科目三,仰卧起坐,俯卧撑,,,,,,,,,,,,,,,,,,,
11083,サヨナラチェーンソー,再见电锯,电锯,,,,,,,,,,,,,,,,,,,,,,
11084,イカサマライフゲイム,作弊生存游戏,老千,,,,,,,,,,,,,,,,,,,,,,
11085,Halcyon,翡翠鸡,翡翠鸟,平静,二路公交车,,,,,,,,,,,,,,,,,,,,
11086,だれかの心臓になれたなら,心脏,若是能成为谁的心脏,心脏p,如果能成为谁的心脏的话,,,,,,,,,,,,,,,,,,,,
11087,幾望の月,几望之月,,,,,,,,,,,,,,,,,,,,,,,
11088,39みゅーじっく！,39music,39音乐,,,,,,,,,,,,,,,,,,,,,,
11089,STEEL TRANSONIC,st,,,,,,,,,,,,,,,,,,,,,,,
11090,Flashkick,闪击,,,,,,,,,,,,,,,,,,,,,,,
11091,Stardust Memories,星尘往事,,,,,,,,,,,,,,,,,,,,,,,
11092,My My My,我我我,,,,,,,,,,,,,,,,,,,,,,,
11093,UniTas,吉他双神,油腻他死,吉他神,,,,,,,,,,,,,,,,,,,,,
11094,ここからはじまるプロローグ。,从这开始,哒哒哒,福瑞,小心售人控,序章,兽人控金曲,,,,,,,,,,,,,,,,,,
11095,絡めトリック利己ライザー,利己,纠结把戏自私的造反者,,,,,,,,,,,,,,,,,,,,,,
11096,モ°ルモ°ル,毛儿毛儿,毛儿,毛二毛二,摸噜摸噜,morumoru,,,,,,,,,,,,,,,,,,,
11097,ブレインジャックシンドローム,,,,,,,,,,,,,,,,,,,,,,,,
11098,共鳴,共鸣,,,,,,,,,,,,,,,,,,,,,,,
11099,Ututu,,,,,,,,,,,,,,,,,,,,,,,,
11100,シエルブルーマルシェ,,,,,,,,,,,,,,,,,,,,,,,,
11101,GRÄNDIR,grandir,,,,,,,,,,,,,,,,,,,,,,,
11102,封焔の135秒,135,小国奏音,封校135年,封焰,封校,,,,,,,,,,,,,,,,,,,
11103,渦状銀河のシンフォニエッタ,涡状银河,抽水马桶,涡状马桶,马桶,,,,,,,,,,,,,,,,,,,,
11104,ヤミツキ,痴迷,,,,,,,,,,,,,,,,,,,,,,,
11105,ワードワードワード,touch海底谭,touch潭,,,,,,,,,,,,,,,,,,,,,,
11106,Valsqotch,金熊,黄金滴蜡熊,极巨化黄金迪拉熊,黄金大逼脸,,,,,,,,,,,,,,,,,,,,
11107,最強 the サマータイム!!!!!,最强summertime,最强,summertime,,,,,,,,,,,,,,,,,,,,,
11108,UTAKATA,泡沫,,,,,,,,,,,,,,,,,,,,,,,
11109,タテマエと本心の大乱闘,本心大乱斗,大乱斗,,,,,,,,,,,,,,,,,,,,,,
11110,はちみつアドベンチャー,,,,,,,,,,,,,,,,,,,,,,,,
11111,popcorn,爆米花,,,,,,,,,,,,,,,,,,,,,,,
11113,ハム太郎とっとこうた,哈姆太郎,沙雕太郎,,,,,,,,,,,,,,,,,,,,,,
11114,青空のラプソディ,青空狂想曲,龙女仆,,,,,,,,,,,,,,,,,,,,,,
11115,だから僕は音楽を辞めた,所以我放弃了音乐,放弃音乐,,,,,,,,,,,,,,,,,,,,,,
11116,ラブ・ドラマティック feat. 伊原六花,辉夜,辉夜大小姐,辣妹迷死他,,,,,,,,,,,,,,,,,,,,,
11117,異世界かるてっと,异世界,,,,,,,,,,,,,,,,,,,,,,,
11118,いつかいい感じにアレしよう,,,,,,,,,,,,,,,,,,,,,,,,
11119,I'm with you,,,,,,,,,,,,,,,,,,,,,,,,
11120,オトモダチフィルム,,,,,,,,,,,,,,,,,,,,,,,,
11121,ビターチョコデコレーション,苦巧克力装饰,苦巧克力,,,,,,,,,,,,,,,,,,,,,,
11122,アンドロイドガール,Android girl,安卓女孩,仿生少女,机器人少女,安卓少女,安卓,,,,,,,,,,,,,,,,,,
11123,スターリースカイ☆パレード,星空游行,,,,,,,,,,,,,,,,,,,,,,,
11124,スロウダウナー,海底潭青春版,海底潭lite,,,,,,,,,,,,,,,,,,,,,,
11125,クレイジー・ビート,疯狂节拍,crazy beats,crazy beat,切里败,,,,,,,,,,,,,,,,,,,,
11126,バイオレンストリガー,暴力扳机,,,,,,,,,,,,,,,,,,,,,,,
11127,グラーヴェ,hello,grave,,,,,,,,,,,,,,,,,,,,,,
11128,KILLER B,杀b,杀手b,,,,,,,,,,,,,,,,,,,,,,
11129,すーぱーぬこになれんかった,变猫,变不了猫,,,,,,,,,,,,,,,,,,,,,,
11130,アスヘノBRAVE,,,,,,,,,,,,,,,,,,,,,,,,
11131,深海シティアンダーグラウンド,深海cityunderground,深海地下城,深海,,,,,,,,,,,,,,,,,,,,,
11132,表裏一体,表里一体,,,,,,,,,,,,,,,,,,,,,,,
